nodenumber,    x-coordinate,    y-coordinate,    z-coordinate
       223, 5.441260338E-02, 8.911122568E-04,-2.335790778E-03
       224, 7.501981221E-03,-8.935765945E-04,-2.334849210E-03
       225, 3.549634665E-02,-8.945175796E-04,-2.334488789E-03
       226,-1.140294038E-02, 8.962941356E-04,-2.333807293E-03
       227, 3.986215591E-02, 8.977366379E-04,-2.333252924E-03
       228,-2.144106984E-04,-8.995250100E-04,-2.332563978E-03
       229, 1.762576518E-03,-9.021763108E-04,-2.331539756E-03
       230, 4.614373669E-02, 9.033808019E-04,-2.331073396E-03
       231, 3.946738690E-02,-9.084045305E-04,-2.329120180E-03
       232, 2.587046474E-03, 9.083196637E-04,-2.329153474E-03
       233,-1.060591545E-02,-9.238187922E-04,-2.323049586E-03
       234, 5.373111740E-02,-9.442478768E-04,-2.314820886E-03
       235, 4.310361296E-02,-9.518378065E-04,-2.311710268E-03
       236,-5.156179424E-03, 9.587599197E-04,-2.308848081E-03
       237, 4.821689054E-02, 9.622137877E-04,-2.307410818E-03
       238, 3.814658523E-02,-9.639040218E-04,-2.306705341E-03
       239,-5.633836146E-03,-9.675634792E-04,-2.305172617E-03
       240, 5.104877427E-02, 9.716961649E-04,-2.303433605E-03
       241, 5.290028173E-03, 9.759021923E-04,-2.301654778E-03
       242, 5.061455071E-02,-9.767643642E-04,-2.301289001E-03
       243,-7.616169751E-03,-9.779197862E-04,-2.300798427E-03
       244, 3.770549968E-02, 9.877744596E-04,-2.296584891E-03
       245, 4.856903479E-02,-9.936129209E-04,-2.294064732E-03
       246,-8.062682115E-03, 9.963468183E-04,-2.292878693E-03
       247, 6.154075265E-03,-1.009773230E-03,-2.286997624E-03
       248, 3.684407100E-02,-1.011435408E-03,-2.286263043E-03
       249, 3.630012646E-02, 1.011599437E-03,-2.286190400E-03
       250, 6.697990000E-03, 1.013995032E-03,-2.285128925E-03
       251, 1.333184540E-02,-1.029942418E-03,-2.277985681E-03
       252, 2.966823429E-02,-1.029763371E-03,-2.278066706E-03
       253, 3.499387950E-02, 1.029876061E-03,-2.278015716E-03
       254, 8.005619049E-03, 1.030750340E-03,-2.277620137E-03
       255, 4.653396085E-02,-1.043200260E-03,-2.271944890E-03
       256, 3.349976987E-02,-1.048450591E-03,-2.269526711E-03
       257, 9.498449974E-03,-1.049254206E-03,-2.269155346E-03
       258, 4.572515842E-03,-1.055431319E-03,-2.266288735E-03
       259, 2.484587487E-03,-1.059885486E-03,-2.264209092E-03
       260, 4.114019871E-02, 1.066611963E-03,-2.261048183E-03
       261,-3.800587729E-03, 1.068479731E-03,-2.260166220E-03
       262, 1.199512091E-02,-1.074789208E-03,-2.257172484E-03
       263, 3.100490198E-02,-1.074708067E-03,-2.257211367E-03
       264, 5.570368096E-02, 1.075808192E-03,-2.256687032E-03
       265, 1.465129200E-02, 4.418202734E-04,-2.256506355E-03
       266, 5.243403092E-02, 1.078640926E-03,-2.255334519E-03
       267,-1.270123385E-02, 1.080162474E-03,-2.254606225E-03
       268, 3.362962604E-02, 1.080439426E-03,-2.254473511E-03
       269, 9.369887412E-03, 1.080873189E-03,-2.254265593E-03
       270, 2.966802940E-02, 1.083054813E-03,-2.253218088E-03
       271, 1.333205309E-02, 1.083244802E-03,-2.253126819E-03
       272, 5.563885719E-02,-1.089667669E-03,-2.250027610E-03
       273,-1.263909135E-02,-1.090055914E-03,-2.249839483E-03
       274,-1.534309331E-02,-1.091580489E-03,-2.249100246E-03
       275, 5.834310129E-02,-1.091567799E-03,-2.249106299E-03
       276, 2.847621217E-02, 6.697725039E-04,-2.248785226E-03
       277,-9.453170933E-03, 1.094056759E-03,-2.247896744E-03
       278, 4.480387270E-02, 1.094115549E-03,-2.247868106E-03
       279, 5.697052926E-02,-1.098689041E-03,-2.245636424E-03
       280,-1.397029310E-02,-1.098957844E-03,-2.245504875E-03
       281, 1.063832268E-02,-1.101373578E-03,-2.244320931E-03
       282, 3.236167878E-02,-1.101364265E-03,-2.244325355E-03
       283, 1.463332307E-02,-5.349838757E-04,-2.241913695E-03
       284, 2.838923037E-02,-6.034473772E-04,-2.241182374E-03
       285, 1.198889129E-02, 1.108726021E-03,-2.240697853E-03
       286, 3.101113997E-02, 1.108629978E-03,-2.240745351E-03
       287, 2.810841054E-02, 5.058377792E-05,-2.238751389E-03
